timestamp,event_type,agent_id,data
2026-05-15T09:03:17.643109,runtime_started,,"{'agent_files': ('agent_gui.py',), 'num': 1, 'port': 2000, 'secure': False, 'detailed': False, 'session': {'username': 'pade_user', 'email': 'pade_user@pade.com', 'password': '12345'}, 'pade_ams': {'launch': True, 'host': 'localhost', 'port': 8000, 'debug': False}, 'pade_sniffer': {'active': True, 'host': 'localhost', 'port': 8001, 'debug': False}, 'runtime_session_id': '20260515_090317'}"
2026-05-15T09:03:20.197156,ams_initialized,,"{'host': 'localhost', 'port': 8000, 'session_id': '20260515_090317'}"
2026-05-15T09:03:20.218487,ams_service_started,,"{'host': 'localhost', 'port': 8000, 'session_id': '20260515_090317'}"
2026-05-15T09:03:22.036906,sniffer_initialized,,"{'host': 'localhost', 'port': 8001, 'timestamp': '2026-05-15T09:03:22.028690', 'session_id': '20260515_090317'}"
2026-05-15T09:03:22.047009,sniffer_cli_started,,"{'port': 8001, 'debug': False, 'command': '/mnt/host/c/Users/josej/Documents/Universidad/TERCER_AÑO/Sistemas_Inteligentes/practica-ssii/pade/pade/core/sniffer.py 8001', 'session_id': '20260515_090317'}"
2026-05-15T09:03:30.851770,agent_connection_verified,sniffer@localhost:8001,{'timestamp': '2026-05-15T09:03:30.843403'}
2026-05-15T09:07:48.753744,runtime_started,,"{'agent_files': ('agent_gui.py',), 'num': 1, 'port': 2000, 'secure': False, 'detailed': False, 'session': {'username': 'pade_user', 'email': 'pade_user@pade.com', 'password': '13245'}, 'pade_ams': {'launch': True, 'host': 'localhost', 'port': 8000, 'debug': False}, 'pade_sniffer': {'active': True, 'host': 'localhost', 'port': 8001, 'debug': False}, 'runtime_session_id': '20260515_090748'}"
2026-05-15T09:07:51.306406,ams_initialized,,"{'host': 'localhost', 'port': 8000, 'session_id': '20260515_090748'}"
2026-05-15T09:07:51.329149,ams_service_started,,"{'host': 'localhost', 'port': 8000, 'session_id': '20260515_090748'}"
2026-05-15T09:07:53.183572,sniffer_initialized,,"{'host': 'localhost', 'port': 8001, 'timestamp': '2026-05-15T09:07:53.175479', 'session_id': '20260515_090748'}"
2026-05-15T09:07:53.193741,sniffer_cli_started,,"{'port': 8001, 'debug': False, 'command': '/mnt/host/c/Users/josej/Documents/Universidad/TERCER_AÑO/Sistemas_Inteligentes/practica-ssii/pade/pade/core/sniffer.py 8001', 'session_id': '20260515_090748'}"
2026-05-15T09:08:02.010143,agent_connection_verified,sniffer@localhost:8001,{'timestamp': '2026-05-15T09:08:02.001525'}
2026-05-15T09:08:11.359100,agent_connection_verified,sniffer@localhost:8001,{'timestamp': '2026-05-15T09:08:11.350714'}
2026-05-15T09:08:11.433423,agent_connection_verified,mock_agent_3000@localhost:3000,{'timestamp': '2026-05-15T09:08:11.425186'}
2026-05-15T09:08:12.235242,agent_connection_verified,gui_agent_2000@localhost:2000,{'timestamp': '2026-05-15T09:08:12.226866'}
2026-05-15T09:08:16.919751,message_sent,mock_agent_3000@localhost:3000,"{'message_id': '9c3470c0-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': '9c346dbe-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'receivers': ['gui_agent_2000@localhost:2000']}"
2026-05-15T09:08:16.931689,message_received,gui_agent_2000@localhost:2000,"{'message_id': '9c3470c0-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': '9c346dbe-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'sender': 'mock_agent_3000@localhost:3000'}"
2026-05-15T09:08:19.097516,agent_detected_by_sniffer,gui_agent_2000@localhost:2000,{'assigned_id': 1}
2026-05-15T09:08:19.117872,message_stored,gui_agent_2000@localhost:2000,"{'message_id': '9c3470c0-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'conversation_id': '9c346dbe-503d-11f1-9b27-fdf2b1da3086'}"
2026-05-15T09:08:21.411631,agent_connection_verified,gui_agent_2000@localhost:2000,{'timestamp': '2026-05-15T09:08:21.403151'}
2026-05-15T09:08:21.448699,agent_connection_verified,mock_agent_3000@localhost:3000,{'timestamp': '2026-05-15T09:08:21.440196'}
2026-05-15T09:08:21.821889,agent_connection_verified,sniffer@localhost:8001,{'timestamp': '2026-05-15T09:08:21.812779'}
2026-05-15T09:08:21.919657,message_sent,mock_agent_3000@localhost:3000,"{'message_id': '9f2f824c-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': '9f2f801c-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'receivers': ['gui_agent_2000@localhost:2000']}"
2026-05-15T09:08:21.930629,message_received,gui_agent_2000@localhost:2000,"{'message_id': '9f2f824c-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': '9f2f801c-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'sender': 'mock_agent_3000@localhost:3000'}"
2026-05-15T09:08:26.927157,message_stored,gui_agent_2000@localhost:2000,"{'message_id': '9f2f824c-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'conversation_id': '9f2f801c-503d-11f1-9b27-fdf2b1da3086'}"
2026-05-15T09:08:26.927273,message_sent,mock_agent_3000@localhost:3000,"{'message_id': 'a22b5732-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'a22b54da-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'receivers': ['gui_agent_2000@localhost:2000']}"
2026-05-15T09:08:26.938697,message_received,gui_agent_2000@localhost:2000,"{'message_id': 'a22b5732-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'a22b54da-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'sender': 'mock_agent_3000@localhost:3000'}"
2026-05-15T09:08:29.602039,message_stored,gui_agent_2000@localhost:2000,"{'message_id': 'a22b5732-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'conversation_id': 'a22b54da-503d-11f1-9b27-fdf2b1da3086'}"
2026-05-15T09:08:31.905531,agent_connection_verified,gui_agent_2000@localhost:2000,{'timestamp': '2026-05-15T09:08:31.896734'}
2026-05-15T09:08:31.925922,message_sent,mock_agent_3000@localhost:3000,"{'message_id': 'a52657e8-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'a5265590-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'receivers': ['gui_agent_2000@localhost:2000']}"
2026-05-15T09:08:31.937120,message_received,gui_agent_2000@localhost:2000,"{'message_id': 'a52657e8-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'a5265590-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'sender': 'mock_agent_3000@localhost:3000'}"
2026-05-15T09:08:32.156533,agent_connection_verified,mock_agent_3000@localhost:3000,{'timestamp': '2026-05-15T09:08:32.147651'}
2026-05-15T09:08:32.239112,agent_connection_verified,sniffer@localhost:8001,{'timestamp': '2026-05-15T09:08:32.230670'}
2026-05-15T09:08:35.069015,message_stored,gui_agent_2000@localhost:2000,"{'message_id': 'a52657e8-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'conversation_id': 'a5265590-503d-11f1-9b27-fdf2b1da3086'}"
2026-05-15T09:08:36.931900,message_sent,mock_agent_3000@localhost:3000,"{'message_id': 'a82228a0-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'a8222634-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'receivers': ['gui_agent_2000@localhost:2000']}"
2026-05-15T09:08:36.943652,message_received,gui_agent_2000@localhost:2000,"{'message_id': 'a82228a0-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'a8222634-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'sender': 'mock_agent_3000@localhost:3000'}"
2026-05-15T09:08:40.605898,message_stored,gui_agent_2000@localhost:2000,"{'message_id': 'a82228a0-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'conversation_id': 'a8222634-503d-11f1-9b27-fdf2b1da3086'}"
2026-05-15T09:08:41.691439,agent_connection_verified,mock_agent_3000@localhost:3000,{'timestamp': '2026-05-15T09:08:41.682587'}
2026-05-15T09:08:41.925430,agent_connection_verified,gui_agent_2000@localhost:2000,{'timestamp': '2026-05-15T09:08:41.916642'}
2026-05-15T09:08:41.930680,message_sent,mock_agent_3000@localhost:3000,"{'message_id': 'ab1d1fce-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'ab1d1e34-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'receivers': ['gui_agent_2000@localhost:2000']}"
2026-05-15T09:08:41.938685,message_received,gui_agent_2000@localhost:2000,"{'message_id': 'ab1d1fce-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'ab1d1e34-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'sender': 'mock_agent_3000@localhost:3000'}"
2026-05-15T09:08:41.938568,agent_connection_verified,sniffer@localhost:8001,{'timestamp': '2026-05-15T09:08:41.933515'}
2026-05-15T09:08:44.831245,message_stored,gui_agent_2000@localhost:2000,"{'message_id': 'ab1d1fce-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'conversation_id': 'ab1d1e34-503d-11f1-9b27-fdf2b1da3086'}"
2026-05-15T09:08:46.935922,message_sent,mock_agent_3000@localhost:3000,"{'message_id': 'ae188722-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'ae1884ca-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'receivers': ['gui_agent_2000@localhost:2000']}"
2026-05-15T09:08:46.947055,message_received,gui_agent_2000@localhost:2000,"{'message_id': 'ae188722-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'ae1884ca-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'sender': 'mock_agent_3000@localhost:3000'}"
2026-05-15T09:08:51.569274,message_stored,gui_agent_2000@localhost:2000,"{'message_id': 'ae188722-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'conversation_id': 'ae1884ca-503d-11f1-9b27-fdf2b1da3086'}"
2026-05-15T09:08:51.790497,agent_connection_verified,sniffer@localhost:8001,{'timestamp': '2026-05-15T09:08:51.781460'}
2026-05-15T09:08:51.801871,agent_connection_verified,mock_agent_3000@localhost:3000,{'timestamp': '2026-05-15T09:08:51.792919'}
2026-05-15T09:08:51.936089,message_sent,mock_agent_3000@localhost:3000,"{'message_id': 'b113842c-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'b1138210-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'receivers': ['gui_agent_2000@localhost:2000']}"
2026-05-15T09:08:51.947774,message_received,gui_agent_2000@localhost:2000,"{'message_id': 'b113842c-503d-11f1-9b27-fdf2b1da3086', 'conversation_id': 'b1138210-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'sender': 'mock_agent_3000@localhost:3000'}"
2026-05-15T09:08:52.328554,agent_connection_verified,gui_agent_2000@localhost:2000,{'timestamp': '2026-05-15T09:08:52.319571'}
2026-05-15T09:08:56.434986,message_stored,gui_agent_2000@localhost:2000,"{'message_id': 'b113842c-503d-11f1-9b27-fdf2b1da3086', 'performative': 'inform', 'conversation_id': 'b1138210-503d-11f1-9b27-fdf2b1da3086'}"
